room,start time,end time,mean,std,min,median,max,sun,diff,preMean,preStd,preMin,preMedian,preMax,preSun,preDiff
1,2016/01/05 10:39:57,2016/01/05 10:40:51,316.04875,37.7648141596,193.815,328.59,414.315,2,220.5,250.08375,142.438105731,117.99,160.0425,542.025,2,424.035
1,2016/01/05 10:40:52,2016/01/05 10:41:46,349.23375,33.8525363782,276.615,335.1375,418.95,2,142.335,316.04875,37.7648141596,193.815,328.59,414.315,2,220.5
1,2016/01/05 10:41:46,2016/01/05 10:42:40,348.47675,30.4369615813,202.275,354.6,381.735,2,179.46,349.23375,33.8525363782,276.615,335.1375,418.95,2,142.335
1,2016/01/05 10:42:41,2016/01/05 10:43:35,363.329,25.0907224413,338.715,358.605,457.695,2,118.98,348.47675,30.4369615813,202.275,354.6,381.735,2,179.46
1,2016/01/05 10:43:35,2016/01/05 10:44:29,344.94125,26.8401930317,266.175,342.4725,442.035,2,175.86,363.329,25.0907224413,338.715,358.605,457.695,2,118.98
1,2016/01/05 10:44:30,2016/01/05 10:45:24,342.3855,3.11545216729,333.0,342.5175,350.145,2,17.145,344.94125,26.8401930317,266.175,342.4725,442.035,2,175.86
1,2016/01/05 10:45:24,2016/01/05 10:46:18,334.26725,12.6969089987,250.11,330.6825,366.93,2,116.82,342.3855,3.11545216729,333.0,342.5175,350.145,2,17.145
1,2016/01/05 10:46:19,2016/01/05 10:47:13,327.29575,28.5371081533,175.545,334.8225,351.135,2,175.59,334.26725,12.6969089987,250.11,330.6825,366.93,2,116.82
1,2016/01/05 10:47:13,2016/01/05 10:48:08,197.162,73.4796425245,51.39,158.04,373.455,2,322.065,327.29575,28.5371081533,175.545,334.8225,351.135,2,175.59
1,2016/01/05 10:48:08,2016/01/05 10:49:03,233.05475,39.309181637,134.55,247.455,313.92,2,179.37,197.162,73.4796425245,51.39,158.04,373.455,2,322.065
1,2016/01/05 10:49:03,2016/01/05 10:49:57,241.15375,27.2633589308,177.39,237.4875,305.415,2,128.025,233.05475,39.309181637,134.55,247.455,313.92,2,179.37
